season,through_week,team,metric,family,direction,phase3_status,n_games,n_opportunities,raw_value,ref_mean,ref_sd,ref_seasons,k,shrunk_value,z_raw,z_shrunk,oriented_z_shrunk,rank_of_league,percentile,confidence,in_index,shrunk_prev_week,shrunk_preseason,delta_shrunk_vs_prev_week,delta_shrunk_vs_preseason
2026,0,LAC,team_defense.early_down_epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1001,-0.07929713118492535,-0.0013076969094549817,0.06388279864549935,"2023,2024,2025",16,-0.041484072142273044,-1.2208205640496754,-0.6289075632983177,0.6289075632983177,3,0.9354838709677419,prior_season_only,true,-0.041484072142273044,-0.041484072142273044,0.0,0.0
2026,0,LAC,team_defense.epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1001,-0.07724047989308302,0.004591155429042401,0.06774676986235148,"2023,2024,2025",16,-0.03756453549447676,-1.2079046054652007,-0.6222538876638913,0.6222538876638913,6,0.8387096774193549,prior_season_only,true,-0.03756453549447676,-0.03756453549447676,0.0,0.0
2026,0,LAC,team_defense.explosive_pass_rate,team_defense,lower_better,NOT_RANK_PERSISTENT,17,1001,0.06313993174061433,0.07968322075124035,0.01121813986620499,"2023,2024,2025",14,0.07061109451960673,-1.4746909209487762,-0.8087014727783605,0.8087014727783605,4,0.9032258064516129,prior_season_only,false,0.07061109451960673,0.07061109451960673,0.0,0.0
2026,0,LAC,team_defense.explosive_rush_rate,team_defense,lower_better,RANK_PERSISTENT,17,1001,0.10582010582010581,0.09995627452646601,0.020596023639878284,"2023,2024,2025",16,0.10297703610197742,0.2847069607303315,0.1466672221944131,-0.1466672221944131,22,0.3225806451612903,prior_season_only,true,0.10297703610197742,0.10297703610197742,0.0,0.0
2026,0,LAC,team_defense.pass_epa_per_dropback,team_defense,lower_better,RANK_PERSISTENT,17,1001,-0.06344336614261684,0.03612076420012932,0.09487757506079898,"2023,2024,2025",16,-0.015169848400679309,-1.049395816439701,-0.5405978448325732,0.5405978448325732,9,0.7419354838709677,prior_season_only,true,-0.015169848400679309,-0.015169848400679309,0.0,0.0
2026,0,LAC,team_defense.pass_success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1001,0.4249146757679181,0.45363962350332016,0.03204062541287013,"2023,2024,2025",16,0.4388419231547797,-0.8965164495154888,-0.46184180732616037,0.46184180732616037,8,0.7741935483870968,prior_season_only,true,0.4388419231547797,0.4388419231547797,0.0,0.0
2026,0,LAC,team_defense.rush_epa_per_play,team_defense,lower_better,NOT_RANK_PERSISTENT,17,1001,-0.12056007767888849,-0.07599918977141418,0.064949391344954,"2023,2024,2025",14,-0.10043580572067429,-0.686086304809326,-0.3762408768309207,0.3762408768309207,4,0.9032258064516129,prior_season_only,true,-0.10043580572067429,-0.10043580572067429,0.0,0.0
2026,0,LAC,team_defense.rush_success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1001,0.3968253968253968,0.4019777133617364,0.032975036932461385,"2023,2024,2025",16,0.39932348969150083,-0.1562489997173442,-0.08049190894529874,0.08049190894529874,12,0.6451612903225806,prior_season_only,true,0.39932348969150083,0.39932348969150083,0.0,0.0
2026,0,LAC,team_defense.success_rate,team_defense,lower_better,RANK_PERSISTENT,17,1001,0.4155844155844156,0.43839550006288847,0.025454573794236213,"2023,2024,2025",16,0.426644335331554,-0.896148749645852,-0.4616523861811955,0.4616523861811955,5,0.8709677419354839,prior_season_only,true,0.426644335331554,0.426644335331554,0.0,0.0
2026,0,LAC,team_offense.early_down_epa_per_play,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,1125,-0.04513871548581489,-0.005377369437322377,0.078391754097071,"2023,2024,2025",8,-0.032415084750297286,-0.5072133734787565,-0.34490509396555447,-0.34490509396555447,26,0.1935483870967742,prior_season_only,true,-0.032415084750297286,-0.032415084750297286,0.0,0.0
2026,0,LAC,team_offense.epa_per_play,team_offense,higher_better,VALIDATED_PERSISTENCE,17,1125,-0.016009019165588154,-0.00013083193528753284,0.09208398177730366,"2023,2024,2025",8,-0.010927999251891956,-0.17243158825060914,-0.11725348001041423,-0.11725348001041423,24,0.25806451612903225,prior_season_only,true,-0.010927999251891956,-0.010927999251891956,0.0,0.0
2026,0,LAC,team_offense.explosive_pass_rate,team_offense,higher_better,RANK_PERSISTENT,17,1125,0.06607929515418502,0.0795744413888399,0.017733172299595607,"2023,2024,2025",16,0.07262239635886618,-0.7610113975468803,-0.39203617449384726,-0.39203617449384726,26,0.1935483870967742,prior_season_only,true,0.07262239635886618,0.07262239635886618,0.0,0.0
2026,0,LAC,team_offense.explosive_rush_rate,team_offense,higher_better,NOT_RANK_PERSISTENT,17,1125,0.07766990291262135,0.09901553176727344,0.01953435294400914,"2023,2024,2025",16,0.08801929872093751,-1.0927225957181468,-0.5629177008245001,-0.5629177008245001,27,0.16129032258064516,prior_season_only,false,0.08801929872093751,0.08801929872093751,0.0,0.0
2026,0,LAC,team_offense.pass_epa_per_dropback,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,1125,0.0011622508442917805,0.030780199231029884,0.1279708212728859,"2023,2024,2025",8,0.01063999432804797,-0.23144298123695387,-0.15738122724112863,-0.15738122724112863,23,0.2903225806451613,prior_season_only,true,0.01063999432804797,0.01063999432804797,0.0,0.0
2026,0,LAC,team_offense.pass_success_rate,team_offense,higher_better,UNVALIDATED_RANK_PERSISTENT,17,1125,0.4522760646108664,0.4520797072840564,0.04182371000768115,"2023,2024,2025",8,0.4522132302662872,0.004694880649610993,0.0031925188417352627,0.0031925188417352627,16,0.5161290322580645,prior_season_only,true,0.4522132302662872,0.4522132302662872,0.0,0.0
2026,0,LAC,team_offense.proe,team_offense,neutral,VALIDATED_PERSISTENCE,17,1125,-0.02155202630824513,-0.047704012843975276,0.034857526884517355,"2023,2024,2025",4,-0.026533357076955633,0.7502536431334162,0.6073481872984798,0.0,,,prior_season_only,false,-0.026533357076955633,-0.026533357076955633,0.0,0.0
2026,0,LAC,team_offense.rush_epa_per_play,team_offense,higher_better,RANK_PERSISTENT,17,1125,-0.08004086094480989,-0.08060335268387975,0.07536384453942868,"2023,2024,2025",16,-0.08031358421223769,0.007463681590388824,0.003844926879897351,0.003844926879897351,23,0.2903225806451613,prior_season_only,true,-0.08031358421223769,-0.08031358421223769,0.0,0.0
2026,0,LAC,team_offense.rush_success_rate,team_offense,higher_better,RANK_PERSISTENT,17,1125,0.3907766990291262,0.4003685439967535,0.03852021536879744,"2023,2024,2025",12,0.3947457383260754,-0.24900808253001,-0.1459702552762133,-0.1459702552762133,25,0.22580645161290322,prior_season_only,true,0.3947457383260754,0.3947457383260754,0.0,0.0
2026,0,LAC,team_offense.success_rate,team_offense,higher_better,VALIDATED_PERSISTENCE,17,1125,0.43555555555555553,0.4369580638820209,0.03373700043770765,"2023,2024,2025",4,0.4358226999986918,-0.04157181457358621,-0.0336533737024274,-0.0336533737024274,20,0.3870967741935484,prior_season_only,true,0.4358226999986918,0.4358226999986918,0.0,0.0
