family,metric,window,n,placebo_skill_vs_league_mean,placebo_skill_vs_league_p95_abs,placebo_spearman_mean,placebo_spearman_p95_abs,n_permutations
team_offense,pass_success_rate,trailing_5,2870,-0.13394399995780756,0.14115600607435927,-0.004650675510277632,0.028412640794011682,20
team_offense,pass_success_rate,prior_season,2870,-0.07325518659372385,0.07969847973208039,0.0007039146996599434,0.024834220524264126,20
team_offense,rush_epa_per_play,season_to_date,2870,-0.06902924344625279,0.07871076532115316,0.00224175228780884,0.029173618755046746,20
team_offense,rush_epa_per_play,trailing_3,2870,-0.16546884268860856,0.18228871471178293,0.006206634012543943,0.0326452187511843,20
team_offense,rush_epa_per_play,trailing_5,2870,-0.11016927309621108,0.12587387902872316,0.00312660399551358,0.030020392662293373,20
team_offense,rush_epa_per_play,prior_season,2870,-0.051083917426880524,0.061417472066040625,-0.00011780463473557053,0.03825771307097311,20
team_offense,rush_success_rate,season_to_date,2870,-0.07735173673970018,0.09091665637525523,-0.0015455265292611876,0.03985143109824127,20
team_offense,rush_success_rate,trailing_3,2870,-0.17199274711282547,0.19090916786721196,0.00011950365206555603,0.03858008661561972,20
team_offense,rush_success_rate,trailing_5,2870,-0.11690027223952563,0.13179442558789056,-0.00009066916476859044,0.03616380158540035,20
team_offense,rush_success_rate,prior_season,2870,-0.05529506405762617,0.0653359072229045,0.0037869776990466482,0.030965537492733914,20
team_offense,early_down_epa_per_play,season_to_date,2870,-0.09303259494522144,0.10138103106593976,0.0004014328634137085,0.027214632890244797,20
team_offense,early_down_epa_per_play,trailing_3,2870,-0.18000077872641534,0.19012486142229362,0.0007508770554184232,0.032169038363868925,20
team_offense,early_down_epa_per_play,trailing_5,2870,-0.12883652196737666,0.1401031226571415,0.00046202388080900873,0.027060461858220218,20
team_offense,early_down_epa_per_play,prior_season,2870,-0.07126534025089395,0.08424877259806016,-0.0014786245207373467,0.027199698385527833,20
team_offense,explosive_pass_rate,season_to_date,2870,-0.07257000775306975,0.08114622952416732,0.006605575342589232,0.032413123506710856,20
team_offense,explosive_pass_rate,trailing_3,2870,-0.1659339782357776,0.1846757595688718,0.0014029207999027196,0.03369012666806051,20
team_offense,explosive_pass_rate,trailing_5,2870,-0.11210327011757952,0.12343191891906327,0.004048439361998268,0.025447426262033033,20
team_offense,explosive_pass_rate,prior_season,2870,-0.04744861105206265,0.05694193673412479,0.0027371261572245904,0.03965548747857591,20
