family,entity_type,source,metric,predictive_status,rank_persistence,best_window_h2,best_window_h4,primary_n_h2,primary_n_h4,spearman_h4,skill_vs_league_h4,skill_vs_prior_season_h4,evidence,rank_evidence
team_defense,team,pbp,team_defense.rush_success_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.19624026545738707,-0.09200912920529425,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.054[-0.078,-0.030] skill_vs_prior=0.000[0.000] spearman=0.089[0.029] | H4: win=prior_season n=2351 skill_vs_league=-0.092[-0.132,-0.049] skill_vs_prior=0.000[0.000] spearman=0.125[0.047]",H2: spearman=0.16187351940395092[0.1105770671873025] n=2732 win=season_to_date | H4: spearman=0.19624026545738707[0.12374748060230786] n=2351 win=season_to_date
team_defense,team,pbp,team_defense.success_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,season_to_date,prior_season,2732,2351,0.24876323265217468,-0.07914083867477228,0.0,"H2: win=season_to_date n=2732 skill_vs_league=-0.032[-0.060,-0.004] skill_vs_prior=0.014[-0.020] spearman=0.212[0.151] | H4: win=prior_season n=2351 skill_vs_league=-0.079[-0.132,-0.031] skill_vs_prior=0.000[0.000] spearman=0.132[0.038]",H2: spearman=0.21206058798514807[0.15058743167750768] n=2732 win=season_to_date | H4: spearman=0.24876323265217468[0.16760759232154698] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.early_down_epa_per_play,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.3728555997364782,-0.0025335942522370924,0.06047443968988275,"ambiguous (H2: win=season_to_date n=2732 skill_vs_league=0.002[-0.033,0.037] skill_vs_prior=0.044[0.008] spearman=0.289[0.233] | H4: win=season_to_date n=2351 skill_vs_league=-0.003[-0.072,0.060] skill_vs_prior=0.060[-0.004] spearman=0.373[0.301])",H2: spearman=0.2891098733720201[0.2329602048230975] n=2732 win=season_to_date | H4: spearman=0.3728555997364782[0.301447754142085] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.epa_per_play,VALIDATED_PERSISTENCE,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.47787180850602096,0.07072247949114019,0.11595302248697337,"H2: win=season_to_date n=2732 skill_vs_league=0.048[0.013,0.084] skill_vs_prior=0.082[0.049] spearman=0.380[0.317] | H4: win=season_to_date n=2351 skill_vs_league=0.071[0.007,0.134] skill_vs_prior=0.116[0.063] spearman=0.478[0.407]",H2: spearman=0.37952072115789787[0.3174082401422727] n=2732 win=season_to_date | H4: spearman=0.47787180850602096[0.40656637592864897] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.explosive_pass_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.3013014916094315,-0.05092864095508576,0.015467355694273488,"H2: win=season_to_date n=2732 skill_vs_league=-0.027[-0.049,-0.002] skill_vs_prior=0.015[-0.012] spearman=0.220[0.173] | H4: win=season_to_date n=2351 skill_vs_league=-0.051[-0.093,-0.003] skill_vs_prior=0.015[-0.035] spearman=0.301[0.239]",H2: spearman=0.2195523080622172[0.17267343054622364] n=2732 win=season_to_date | H4: spearman=0.3013014916094315[0.23946524279066064] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.explosive_rush_rate,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.1821104349864148,-0.08163823940804993,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.045[-0.071,-0.015] skill_vs_prior=0.000[0.000] spearman=0.126[0.067] | H4: win=prior_season n=2351 skill_vs_league=-0.082[-0.129,-0.028] skill_vs_prior=0.000[0.000] spearman=0.165[0.082]",H2: spearman=0.13809635054624597[0.07908960321780915] n=2732 win=season_to_date | H4: spearman=0.1821104349864148[0.09978908268133704] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.pass_epa_per_dropback,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.4348269857912847,0.019790444759697268,0.0695462395398051,"ambiguous (H2: win=season_to_date n=2732 skill_vs_league=0.021[-0.011,0.054] skill_vs_prior=0.052[0.024] spearman=0.339[0.282] | H4: win=season_to_date n=2351 skill_vs_league=0.020[-0.039,0.077] skill_vs_prior=0.070[0.017] spearman=0.435[0.362])",H2: spearman=0.33892248447561885[0.28221410447083756] n=2732 win=season_to_date | H4: spearman=0.4348269857912847[0.36232695543293414] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.pass_success_rate,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.44909644975124446,0.020614552729799174,0.052953627685907056,"ambiguous (H2: win=season_to_date n=2732 skill_vs_league=0.027[-0.006,0.061] skill_vs_prior=0.046[0.015] spearman=0.359[0.301] | H4: win=season_to_date n=2351 skill_vs_league=0.021[-0.036,0.076] skill_vs_prior=0.053[-0.000] spearman=0.449[0.373])",H2: spearman=0.35877767466207094[0.30126546754973527] n=2732 win=season_to_date | H4: spearman=0.44909644975124446[0.37346547773449734] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.proe,VALIDATED_PERSISTENCE,RANK_PERSISTENT,season_to_date,season_to_date,2732,2351,0.5187195829307768,0.13637401735016463,0.14318460894478457,"H2: win=season_to_date n=2732 skill_vs_league=0.111[0.069,0.153] skill_vs_prior=0.120[0.080] spearman=0.461[0.400] | H4: win=season_to_date n=2351 skill_vs_league=0.136[0.072,0.198] skill_vs_prior=0.143[0.084] spearman=0.519[0.445]",H2: spearman=0.4607707035804319[0.40012205284073954] n=2732 win=season_to_date | H4: spearman=0.5187195829307768[0.4454766771100132] n=2351 win=season_to_date
team_offense,team,pbp,team_offense.rush_epa_per_play,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.2400391431810966,-0.046090702608577505,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.033[-0.068,-0.003] skill_vs_prior=0.000[-0.000] spearman=0.148[0.078] | H4: win=prior_season n=2351 skill_vs_league=-0.046[-0.103,0.004] skill_vs_prior=0.000[-0.000] spearman=0.196[0.104]",H2: spearman=0.1898699162645505[0.12871248715728026] n=2732 win=season_to_date | H4: spearman=0.2400391431810966[0.16143613064276213] n=2351 win=season_to_date
