family,entity_type,source,metric,window,target_horizon,season_phase,n,n_entities,n_seasons,opportunity_n_median,target_mean,target_sd,rmse,mae,bias,spearman,pearson,rmse_league,rmse_prior_season,rmse_raw_trailing3,skill_vs_league,skill_vs_prior_season,skill_vs_raw_trailing3,n_prior_season,excluded_target_rate,skill_vs_league_ci_lo,skill_vs_league_ci_hi,skill_vs_prior_season_ci_lo,skill_vs_prior_season_ci_hi,spearman_ci_lo,spearman_ci_hi,bootstrap_iterations,bootstrap_method
team_defense,team,pbp,success_rate,trailing_3,4,primary_wk5_18_h4,2351,32,7,195.0,0.43836099476055157,0.04074447108497075,0.053780018002779054,0.04336776675665016,0.0010203397503575182,0.21472916985649068,0.21416215785436202,0.04179845108663481,0.045106415560937536,0.053780018002779054,-0.28665097879608714,-0.19229199070637115,0.0,2351,NaN,-0.3488448894007129,-0.22671150241883492,-0.25945954976222313,-0.1292168172564455,0.1547801165590178,0.27487742900704065,1000,multiplier_cluster_exponential
team_defense,team,pbp,success_rate,trailing_3,4,wk10_14,1014,32,7,195.0,0.43815417115056254,0.041344563559515074,0.0554488482089177,0.04488730835687071,-0.0011556571219696356,0.1833045852082199,0.18151647555611328,0.0424892099888503,0.045499119289147794,0.0554488482089177,-0.30501010076365676,-0.218679593698049,0.0,1014,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_3,4,wk15_18,331,32,7,195.0,0.4353036031095133,0.04104176084319268,0.052698377881349054,0.0422460958407987,-0.004710990195463321,0.21293567568819635,0.1914345042177547,0.04242367961328416,0.046668028724840764,0.052698377881349054,-0.24219252930732504,-0.1292179961588653,0.0,331,0.6105882352941177,,,,,,,,
team_defense,team,pbp,success_rate,trailing_3,4,wk5_9,1006,32,7,194.0,0.4395754239623633,0.0400147545065793,0.05240658988178211,0.04220520004742869,0.005099396450761525,0.2392681041911097,0.2504393751027785,0.040879080109094586,0.04417657653965167,0.05240658988178211,-0.2819904396557822,-0.18629812418224412,0.0,1006,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,1,early,892,32,7,324.0,0.44318587984109514,0.07227335241952887,0.07530062968556883,0.059885858970005,0.0014452072448083411,0.17365118789249676,0.17744955829922407,0.0727843763446069,0.07271702393854325,0.0791103871894126,-0.03457133889625452,-0.03552958588086774,0.04815748777366158,892,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,1,primary_wk5_18_h1,2870,32,7,325.0,0.4380944256420098,0.07377019464511411,0.07704890103783645,0.06097799251712692,0.0027492352781448236,0.16644980547132285,0.16497788947899503,0.07432837846519065,0.07624539062138763,0.08078624866140273,-0.036601398131130614,-0.010538478587365452,0.046262175623855595,2870,NaN,-0.054525101644645024,-0.019741863470693583,-0.03086622389310191,0.01119897858690835,0.12164472327724116,0.205740789315869,1000,multiplier_cluster_exponential
team_defense,team,pbp,success_rate,trailing_5,1,wk10_14,1014,32,7,325.0,0.43430931582019533,0.07162120348229271,0.07530031306806562,0.06056422873832524,0.004742165877362331,0.1467439680227811,0.1546380452405065,0.07223072233076988,0.0736308126779784,0.0797976023985643,-0.04249702395663446,-0.022673936757817925,0.056358702458704446,1014,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,1,wk15_18,850,32,7,325.0,0.4381132281608566,0.0781123564155404,0.08073864018937967,0.06351058669270422,-0.0005600639122850496,0.16970129899630232,0.1653461551741362,0.07889596093615717,0.08168679366705009,0.08401079579838938,-0.023355812279333366,0.011607181958139257,0.03894922763096176,850,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,1,wk5_9,1006,32,7,324.0,0.44189374892063815,0.07198451189453386,0.07558527275938036,0.05925518080983484,0.003536583870847447,0.17203184132248706,0.16860219912089086,0.07241026277292449,0.07404207388787981,0.07897751958481376,-0.04384751366546702,-0.02084218864314069,0.04295205576557104,1006,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,2,early,892,32,7,324.0,0.4446191574914279,0.0532619455635725,0.05787220802228457,0.046035248267256024,0.000011929594475547972,0.21259468138281432,0.22455091281546533,0.05389293577570083,0.053853710754740824,0.0631701274599586,-0.07383662050152973,-0.07461876277838453,0.08386748057508997,892,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,2,primary_wk5_18_h2,2732,32,7,324.0,0.43856329958741375,0.054392667863015276,0.0591828595491482,0.04710222544777168,0.0019199955714215477,0.2086471954729913,0.20748946769174326,0.05515268243869291,0.05773599415338579,0.0642426495506362,-0.07307309331572753,-0.025060023941366083,0.07876060587289224,2732,NaN,-0.10345468673975665,-0.04333233322051037,-0.06135126783090791,0.013364314833876886,0.15347895365072597,0.25880414038514893,1000,multiplier_cluster_exponential
team_defense,team,pbp,success_rate,trailing_5,2,wk10_14,1014,32,7,325.0,0.4360263173757957,0.05268772673803266,0.057715810645094796,0.04576246472714998,0.0030251643217619087,0.20599731977026095,0.2035464685952626,0.05347324946055332,0.05530676751018554,0.06378522307943589,-0.07933987979674151,-0.04355783647029443,0.09515389523342199,1014,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,2,wk15_18,712,32,7,325.0,0.4381542032869708,0.05847515444375695,0.06283038675254798,0.04997998850627459,-0.002621555612279861,0.18962829342757706,0.18238093920215176,0.05940511481138408,0.06298159113242478,0.06762072261643537,-0.057659545849535254,0.0024007710373477043,0.07084124035555761,712,0.1623529411764706,,,,,,,,
