family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
pass_rush,qb_hit_rate_generated,oppadj_raw,4,2341,0.1974265158120255,-0.016219073655788785,-0.0336548951893921,-0.00118938247038738,0.02046016379132376,0.08072820269657444,shrunk_feature
pass_rush,qb_hit_rate_generated,oppadj_shrunk,2,2721,0.12341787513797187,-0.016322750497133498,-0.027766670363834123,-0.0070533046560196655,0.0052772846458833955,0.03678694221799139,shrunk_feature
pass_rush,qb_hit_rate_generated,oppadj_shrunk,4,2341,0.14779264093263852,-0.02872268568554537,-0.048701276386288954,-0.011754268044228635,0.008407854995756692,0.06941743496808728,shrunk_feature
qb,adot,oppadj_raw,2,2420,0.3036381086231453,-0.00643985347221121,-0.02786083451613551,0.012827965639506661,0.04431345011845711,0.06733903809276032,shrunk_feature
qb,adot,oppadj_raw,4,1881,0.393295283297937,0.006184150984375969,-0.025535391275910833,0.03997983139290906,0.08699133547900828,0.11133451746030387,shrunk_feature
qb,adot,oppadj_shrunk,2,2420,0.2926189586569331,-0.01147166233776864,-0.02946891623209976,0.0037719305454358776,0.0395353880834558,0.05850450022884712,shrunk_feature
qb,adot,oppadj_shrunk,4,1881,0.36832037405686746,-0.015315381427158936,-0.04471068748061658,0.012538402911640502,0.06723993043317,0.09608458974957168,shrunk_feature
qb,completion_pct,oppadj_raw,2,2420,0.2330620560066924,-0.002591977875967544,-0.02003034083852576,0.012670795304625454,0.021387446694423606,0.056455231375894144,shrunk_feature
qb,completion_pct,oppadj_raw,4,1881,0.28087817674287235,-0.0007989223628865894,-0.032369819610008115,0.03173381596395665,0.039791546996850835,0.10269002802156169,shrunk_feature
qb,completion_pct,oppadj_shrunk,2,2420,0.21278878789305494,-0.004586646694479279,-0.023712032255327392,0.01039106236411073,0.019440485229981985,0.053197800561768926,shrunk_feature
qb,completion_pct,oppadj_shrunk,4,1881,0.25091402810258756,-0.004433496088336986,-0.036727345093289364,0.026679369788647822,0.036304384554668445,0.09834775360085923,shrunk_feature
qb,cpoe,oppadj_raw,2,2420,0.19486287118875303,-0.0051304620842838045,-0.020927317142208482,0.008021383588145171,0.02035066126655327,0.06066387716364985,shrunk_feature
qb,cpoe,oppadj_raw,4,1881,0.2361782923671767,-0.003334666673208364,-0.03502623508381364,0.023135093246137536,0.036493804516737116,0.1110634424421969,shrunk_feature
qb,cpoe,oppadj_shrunk,2,2420,0.1622824599832826,-0.011216267237757371,-0.027639935814895312,0.002856134780099802,0.014419137728904241,0.05397734641635055,shrunk_feature
qb,cpoe,oppadj_shrunk,4,1881,0.19008934044742126,-0.013437998843785603,-0.04454733146410671,0.013217257747456822,0.026791535209474082,0.10027229006367977,shrunk_feature
qb,cpoe_coverage_fraction,oppadj_raw,2,2420,0.28918186304480265,-0.03517644376231721,-0.05750570311862273,-0.013419604872404858,0.03575325358789605,-0.02939303283951844,shrunk_feature
qb,cpoe_coverage_fraction,oppadj_raw,4,1881,0.36599501578217836,-0.05038555601435113,-0.09433984769038875,-0.010292274727923252,0.05250764925987139,-0.05404122367624553,shrunk_feature
qb,cpoe_coverage_fraction,oppadj_shrunk,2,2420,0.25801872080648824,-0.04261973976008537,-0.06730045996529598,-0.019117144009782202,0.028819967971054905,-0.03795305272471294,shrunk_feature
qb,cpoe_coverage_fraction,oppadj_shrunk,4,1881,0.33050820637576994,-0.06186724881576611,-0.1081496240571734,-0.02120032163595429,0.04215067506063741,-0.06604727123315035,shrunk_feature
qb,dropback_success_rate,oppadj_raw,2,2420,0.27765791581070004,-0.035552591972924485,-0.05628949836198679,-0.01591098501931413,0.03753912544538984,0.06494980354919899,shrunk_feature
qb,dropback_success_rate,oppadj_raw,4,1881,0.3154338269841659,-0.058426926999739504,-0.10243455647323475,-0.01829527454893456,0.06278908856938681,0.11583817690307796,shrunk_feature
qb,dropback_success_rate,oppadj_shrunk,2,2420,0.21553293095677295,-0.04298149490435166,-0.0624434037076702,-0.0232716908395474,0.03063457181114071,0.05601288844218122,shrunk_feature
qb,dropback_success_rate,oppadj_shrunk,4,1881,0.23472194650124775,-0.0708749334251777,-0.10577782855881258,-0.03678355011435575,0.05176668621937375,0.10250032831000677,shrunk_feature
qb,epa_per_dropback,oppadj_raw,2,2420,0.262397189752512,-0.019891076060836843,-0.03681231309001973,-0.004088314104430619,0.03849672599155818,0.0678026608030522,shrunk_feature
qb,epa_per_dropback,oppadj_raw,4,1881,0.3283257908696286,-0.029491924614336362,-0.06126549635308577,0.000062682589811368,0.07308719813541753,0.12169421797648639,shrunk_feature
