family,metric,horizon,step,n,rmse,mae,bias,spearman,skill_vs_league,skill_vs_prior_season
team_defense,success_rate,2,raw_feature,2732,0.056925920334444685,0.04543935348981273,0.0036164431163328674,0.21203615740387527,-0.03215143520395203,0.0140306550674264
team_defense,success_rate,2,shrunk_feature,2732,0.053507432156925334,0.042969637725034135,0.0022358964102403775,0.17461209668408953,0.02983082978051732,0.07323961522558242
team_defense,success_rate,2,oppadj_raw,2721,0.054490081815782083,0.04360428363706675,0.0017141087134297723,0.09728027481099949,0.011507609369953986,0.05667110331575731
team_defense,success_rate,2,oppadj_shrunk,2721,0.05465748034844899,0.04393389089842453,0.0017851874659450975,0.021820325758190547,0.008470870017950438,0.05377311036245069
team_defense,success_rate,4,baseline_league,2351,0.04179845108663481,0.03366380481799109,0.001906315767448882,-0.13052226000041,0.0,0.07333689527676512
team_defense,success_rate,4,baseline_prior,2351,0.045106415560937536,0.03607408680616707,0.003393066558845378,0.13175167836304724,-0.07914083867477228,0.0
team_defense,success_rate,4,baseline_raw_t3,2351,0.053780018002779054,0.04336776675665016,0.001020339750357518,0.2148193348309576,-0.28665097879608714,-0.19229199070637115
team_defense,success_rate,4,raw_feature,2351,0.045464278186493574,0.03629213415520804,0.00372816357890772,0.24876452735903995,-0.08770246276017923,-0.007933741156456398
team_defense,success_rate,4,shrunk_feature,2351,0.04000859291888764,0.032161454453983544,0.0023809089926701324,0.19731025018132362,0.04282116014388582,0.11301768448354921
team_defense,success_rate,4,oppadj_raw,2342,0.040938185771227154,0.03274943767930359,0.0019141598188261437,0.1292965529048243,0.019495630288794863,0.09290651744214373
team_defense,success_rate,4,oppadj_shrunk,2342,0.04116358809893297,0.03306646890161815,0.002013777404981784,0.020102758939991854,0.014097052821447575,0.08791213436034595
team_offense,early_down_epa_per_play,2,baseline_league,2732,0.13913286811188655,0.109910317829101,0.0030194926562455105,-0.07809648718189563,0.0,0.04230974010436883
team_offense,early_down_epa_per_play,2,baseline_prior,2732,0.14527961068231937,0.11589916612466852,0.0036158245367475094,0.15207739595906616,-0.04417893955502872,0.0
team_offense,early_down_epa_per_play,2,baseline_raw_t3,2732,0.156673110800342,0.12398711485531416,0.003400794659099186,0.2454595700853383,-0.12606828944509418,-0.0784246327789011
team_offense,early_down_epa_per_play,2,raw_feature,2732,0.1388480342033711,0.11012709704160868,0.007808785520736372,0.2891098733720201,0.0020472079127009657,0.044270331182343914
team_offense,early_down_epa_per_play,2,shrunk_feature,2732,0.1316256727173991,0.10453755014422605,0.005520089673368803,0.2884846290393575,0.0539570232135973,0.09398385568899348
