family,metric,shrinkage_status,shrinkage_evidence,opponent_adjustment_status,opponent_adjustment_evidence,combined
qb,qb.epa_per_dropback,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.075[0.055] n=2431 | H4: skill_vs_ref=0.132[0.098] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.029[-0.045] n=2420 | H4: skill_vs_ref=-0.049[-0.079] n=1881,SHRINKAGE_ONLY
qb,qb.explosive_pass_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.082[0.061] n=2431 | H4: skill_vs_ref=0.132[0.095] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.013[-0.023] n=2420 | H4: skill_vs_ref=-0.023[-0.042] n=1881,SHRINKAGE_ONLY
qb,qb.sack_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.066[0.048] n=2431 | H4: skill_vs_ref=0.112[0.080] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.032[-0.050] n=2420 | H4: skill_vs_ref=-0.055[-0.090] n=1881,SHRINKAGE_ONLY
qb,qb.yards_per_attempt,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.072[0.049] n=2431 | H4: skill_vs_ref=0.129[0.087] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.024[-0.039] n=2420 | H4: skill_vs_ref=-0.043[-0.068] n=1881,SHRINKAGE_ONLY
rb,rb.fumble_lost_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.145[0.100] n=4374 | H4: skill_vs_ref=0.248[0.190] n=3095,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=0.005[-0.021] n=4353 | H4: skill_vs_ref=0.017[-0.022] n=3081,SHRINKAGE_ONLY
rb,rb.rush_epa_per_att,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.086[0.061] n=4374 | H4: skill_vs_ref=0.166[0.127] n=3095,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.010[-0.019] n=4353 | H4: skill_vs_ref=-0.014[-0.029] n=3081,SHRINKAGE_ONLY
rb,rb.rush_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.068[0.044] n=4374 | H4: skill_vs_ref=0.134[0.098] n=3095,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.022[-0.033] n=4353 | H4: skill_vs_ref=-0.039[-0.059] n=3081,SHRINKAGE_ONLY
rb,rb.yards_per_carry,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.121[0.096] n=4374 | H4: skill_vs_ref=0.211[0.171] n=3095,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=0.004[-0.005] n=4353 | H4: skill_vs_ref=0.011[-0.004] n=3081,SHRINKAGE_ONLY
special_teams,special_teams.st_epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.056[0.037] n=2731 | H4: skill_vs_ref=0.094[0.059] n=2350,NOT_APPLICABLE,not in the per-game pipeline,SHRINKAGE_ONLY
team_defense,team_defense.early_down_epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.064[0.047] n=2732 | H4: skill_vs_ref=0.123[0.091] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.022[-0.035] n=2721 | H4: skill_vs_ref=-0.034[-0.054] n=2342,SHRINKAGE_ONLY
