family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
team_defense,pass_epa_per_dropback,shrunk,4,2351,0.17099957557255688,0.13843265531630722,0.1125776081322141,0.16476772545194956,0.025944342105898133,0.09955288375291294,raw_feature
team_defense,pass_success_rate,shrunk,2,2732,0.15753140229347912,0.06491058582413445,0.04980378425885965,0.07995913763328673,0.023793126872267756,0.05058054266904799,raw_feature
team_defense,pass_success_rate,shrunk,4,2351,0.18130773242897166,0.1276350340673561,0.10029791116861103,0.15312976274820417,0.03588657392090544,0.07832072838103099,raw_feature
team_defense,rush_success_rate,shrunk,2,2732,0.15614176277147257,0.07625700404932734,0.06204795723588268,0.08934145366698047,0.01512324254471853,0.06594063108915282,raw_feature
team_defense,rush_success_rate,shrunk,4,2351,0.19047205547920498,0.14405884320409112,0.11934893533690526,0.16731280618933073,0.021919741463055198,0.10432959544144182,raw_feature
team_defense,success_rate,shrunk,2,2732,0.17461209668408953,0.060051522354587106,0.04224357167039223,0.07492542315506216,0.02983082978051732,0.07323961522558242,raw_feature
team_defense,success_rate,shrunk,4,2351,0.19731025018132362,0.11999938160739776,0.09029831594094999,0.14683957845124984,0.04282116014388582,0.11301768448354921,raw_feature
team_offense,early_down_epa_per_play,shrunk,2,2732,0.2884846290393575,0.05201630348898845,0.03624396436709404,0.06742402609140861,0.0539570232135973,0.09398385568899348,raw_feature
team_offense,early_down_epa_per_play,shrunk,4,2351,0.3715584299730734,0.09022756024616319,0.05911767364751558,0.11902593749886135,0.08792256602195914,0.145245538785574,raw_feature
team_offense,epa_per_play,shrunk,2,2732,0.375674036862541,0.03580948397915096,0.019932943974744814,0.05222557047021368,0.08213889552250675,0.11455495772800484,raw_feature
team_offense,epa_per_play,shrunk,4,2351,0.4740286946565915,0.06466518401254828,0.032322140697247585,0.09493752831777937,0.13081438135357015,0.17312008296359038,raw_feature
team_offense,explosive_pass_rate,shrunk,2,2732,0.2152961205221483,0.05221389873360971,0.03876765605149747,0.06430646509493214,0.02681516557602437,0.06624300088884727,raw_feature
team_offense,explosive_pass_rate,shrunk,4,2351,0.2897274752865209,0.09277144934257597,0.0646295537555527,0.11696053514214967,0.04656753222194121,0.10680387603159458,raw_feature
team_offense,pass_epa_per_dropback,shrunk,2,2732,0.33310173223890727,0.04352991358459901,0.028469244267519966,0.05711933505215089,0.06385199570758371,0.09357317069652138,raw_feature
